companie,ton_principe_actif,production_ton,biomasse_morte_ton,indice_atb
AQUAGEN CHILE****,"0,1",311,206,"217,5"
AUSTRALIS MAR S.A.,"15,1",83877,2846,"174,1"
BLUMAR S.A.,"13,4",69839,1939,"186,3"
CALETA BAY S.A.,"0,4",15518,965,"22,7"
CERMAQ CHILE S.A.,"39,2",102962,4546,"364,4"
COOKE AQUACULTURE CHILE S.A.,"4,9",25078,979,"186,4"
EMPRESAS AQUACHILE S.A.,"125,3",200660,19648,"568,7"
EMPRESAS YADRAN,"22,6",26732,3487,"748,4"
MARINE FARM S.A.,"21,4",43201,2274,"469,6"
MOWI CHILE S.A.,"39,6",74005,6636,"491,6"
MULTIEXPORT FOODS S.A.,"39,2",98403,5820,"376,3"
PRODUCTOS DEL MAR VENTISQUEROS S.A.,"29,8",35862,5043,"728,5"
SALMONES ANTARTICA S.A.,"6,7",31030,1669,"205,2"
SALMONES AUSTRAL S.A.,27,45571,1637,572
SALMONES AYSEN S.A.,"1,8",31248,516,"56,7"
SALMONES CAMANCHACA S.A,"34,3",42148,7157,"696,5"
SALMONES DE CHILE ALIMENTOS S.A.,"0,4",16541,628,"24,2"
